Date & Time,Index 1,Index 2,Index 3,Index 4,Index 5,Open Price,High Price,Low Price,Close Price,VA1,VA2,VA3,VA4,VA5,EST,TVA1,TVA2,TVA3,TVA4,ROC1,ROC2,ROC3,ROC4
2020.04.07 21:00,0,0,100.85,0,0,0.96951,0.96956,0.96847,0.96899,0,0,-40020.33,0,0,14:00,-10334.18,-20232.76,-30241.48,-40020.33,-2583.55,-5058.19,-7560.37,-10005.08
2020.04.07 22:00,0,0,100.85,0,0,0.96903,0.96905,0.96845,0.96865,0,0,-40575.56,0,0,15:00,-10426.16,-20862.01,-30757.93,-40575.56,-2606.54,-5215.5,-7689.48,-10143.89
2020.04.07 23:00,89.97,0,10.89,0,0,0.96866,0.96965,0.96857,0.96922,-23135.26,0,-3982.44,0,0,16:00,-7901.98,-14415.54,-21002.85,-27117.7,-1975.49,-3603.89,-5250.71,-6779.43
2020.04.08 00:00,79.15,0,21.7,0,0,0.96917,0.96972,0.96874,0.96965,-24772.31,0,-2685.61,0,0,17:00,-7696.81,-15466.07,-23581.79,-27457.92,-1924.2,-3866.52,-5895.45,-6864.48
2020.04.08 01:00,0.74,0,96.52,0,3.6,0.96958,0.96962,0.96906,0.96947,-27.05,0,-7772.93,0,-370.29,18:00,-2207.21,-4313.43,-6138.58,-8170.28,-551.8,-1078.36,-1534.64,-2042.57
2020.04.08 02:00,73.44,0,23.07,0,4.35,0.96949,0.96957,0.96874,0.96922,-12770.1,0,-2042.77,0,-514.64,19:00,-2610.46,-6857.91,-11863.67,-15327.52,-652.62,-1714.48,-2965.92,-3831.88
2020.04.08 03:00,19.12,0,27.79,0,53.93,0.96924,0.97137,0.96897,0.97128,-232.48,0,-2387.9,0,2836.37,20:00,-2759.45,-4062.81,-2197.03,215.99,-689.86,-1015.7,-549.26,54
2020.04.08 04:00,0,0,0,0,100.85,0.97125,0.9713,0.97031,0.97104,0,0,0,0,25931.13,21:00,6224.83,11785.34,18813.05,25931.13,1556.21,2946.34,4703.26,6482.78
2020.04.08 05:00,0,0,0,0,100.85,0.97104,0.97188,0.97073,0.97186,0,0,0,0,34824.53,22:00,8538.7,17386.8,25756.8,34824.53,2134.68,4346.7,6439.2,8706.13
2020.04.08 06:00,0,0,0,100.85,0,0.97185,0.97212,0.97138,0.97207,0,0,0,35895.33,0,23:00,8937.06,17834.87,26810.61,35895.33,2234.26,4458.72,6702.65,8973.83
2020.04.08 07:00,0,0,0,99.23,1.62,0.97206,0.97208,0.9712,0.97185,0,0,0,32199.77,255.67,0:00,8550.67,16409.65,24180.34,32455.44,2137.67,4102.41,6045.09,8113.86
2020.04.08 08:00,0,0,0,7.46,93.4,0.97184,0.972,0.97047,0.97091,0,0,0,2272.3,28934.1,1:00,9253.75,17181.25,24626.05,31206.41,2313.44,4295.31,6156.51,7801.6
2020.04.08 09:00,0,0,0,23.48,77.37,0.9709,0.97428,0.97059,0.97202,0,0,0,5344.96,28708.69,2:00,7670.44,18539.57,27452.51,34053.65,1917.61,4634.89,6863.13,8513.41
2020.04.08 10:00,7.48,0,0,53.79,39.59,0.972,0.97293,0.97154,0.97186,1243.79,0,0,10519.02,9644.63,3:00,4416.96,10216.9,16160.42,21407.45,1104.24,2554.22,4040.11,5351.86
2020.04.08 11:00,69.32,0,0,24.93,6.6,0.97185,0.97272,0.97174,0.97224,12548.86,0,0,5363.67,1401.39,4:00,4205.3,9156.98,14241.58,19313.92,1051.33,2289.24,3560.39,4828.48
2020.04.08 12:00,0,0,0,20.72,80.14,0.97223,0.97223,0.97055,0.97127,0,0,0,3101.35,10070.21,5:00,3805.39,7101.02,10115.84,13171.55,951.35,1775.26,2528.96,3292.89
2020.04.08 13:00,0,0,0,48.21,52.65,0.97128,0.97165,0.97057,0.97113,0,0,0,3604,4115.44,6:00,1882.09,3960.99,5845.06,7719.44,470.52,990.25,1461.27,1929.86
2020.04.08 14:00,0,0,0,6.77,94.08,0.97114,0.97215,0.97093,0.97134,0,0,0,368.63,8245.87,7:00,1832.24,3552.29,5573.24,8614.5,458.06,888.07,1393.31,2153.63
2020.04.08 15:00,0,0,0,82.19,18.66,0.97133,0.9715,0.97041,0.97074,0,0,0,5800.04,1586.72,8:00,2036.8,3775,5563.13,7386.76,509.2,943.75,1390.78,1846.69
2020.04.08 16:00,28.98,0,15.65,56.23,0,0.97075,0.97103,0.96889,0.97015,-2443.49,0,-2271.19,-393.58,0,9:00,500.48,-351.65,-3302.09,-5108.26,125.12,-87.91,-825.52,-1277.07
2020.04.08 17:00,7.98,0,9.12,83.76,0,0.97015,0.97196,0.96935,0.97101,-694.21,0,-1518.8,-14087.69,0,10:00,-4409.87,-9361.04,-13818.37,-16300.7,-1102.47,-2340.26,-3454.59,-4075.18
2020.04.08 18:00,2.9,0,0,97.96,0,0.97104,0.97146,0.96954,0.971,-11.75,0,0,886.76,0,11:00,310.22,247.99,229.98,875,77.56,62,57.5,218.75
2020.04.08 19:00,48.35,0,0,49.13,3.38,0.97102,0.97211,0.97094,0.97119,2908.31,0,0,3372.37,78.12,12:00,824.46,3013.78,4981.11,6358.8,206.12,753.45,1245.28,1589.7
2020.04.08 20:00,15.49,1.35,0,84.02,0,0.97119,0.97148,0.97069,0.97069,295.36,7.12,0,1675.27,0,13:00,424.67,904.99,1469.32,1977.75,106.17,226.25,367.33,494.44
2020.04.08 21:00,0,0,0,100.85,0,0.97069,0.9713,0.9704,0.97116,0,0,0,2901.55,0,14:00,642.29,1337.22,2166.14,2901.55,160.57,334.31,541.53,725.39
2020.04.08 22:00,8.67,0,0,88.64,3.55,0.97116,0.97194,0.97086,0.97187,641.81,0,0,3837.33,97.97,15:00,401.27,793.38,2175.42,4577.11,100.32,198.35,543.86,1144.28
2020.04.08 23:00,0.58,0,0,40.16,60.11,0.97187,0.97235,0.97146,0.97147,67.54,0,0,8028.68,14214.62,16:00,5026,10399.24,16370.83,22310.84,1256.5,2599.81,4092.71,5577.71
2020.04.09 00:00,20.14,0,0,80.72,0,0.97113,0.9716,0.97104,0.97119,560.67,0,0,2351.83,0,17:00,518.48,1099.36,2178.09,2912.5,129.62,274.84,544.52,728.13
2020.04.09 01:00,56.66,1.3,0,42.88,0,0.97118,0.9724,0.97118,0.97192,10090.13,36.1,0,9185.08,0,18:00,5065.67,9858.92,14602.87,19311.31,1266.42,2464.73,3650.72,4827.83
2020.04.09 02:00,98.59,0,0,2.26,0,0.97198,0.97218,0.97173,0.97187,17668.12,0,0,337.38,0,19:00,4396.44,8916.63,13441.07,18005.5,1099.11,2229.16,3360.27,4501.38
2020.04.09 03:00,69.35,1.12,0.57,28.96,0.85,0.97186,0.97217,0.97036,0.97093,7133.37,-23.56,-6.92,1763.14,89.13,20:00,3928.41,7157.66,8730.85,8955.16,982.1,1789.41,2182.71,2238.79
